Latitud,Longitud
2006.78442,9850.71289
2006.78576,9850.71386
2006.7821,9850.71484
2006.78161,9850.71484
2006.7821,9850.71386
2006.78222,9850.71386
2006.78222,9850.71386
2006.78222,9850.71386
2006.78247,9850.71386
2006.78247,9850.71386
2006.78247,9850.71386
2006.78247,9850.71289
2006.7821,9850.71289
2006.7821,9850.71289
2006.78186,9850.71289
2006.78259,9850.71289
2006.78283,9850.71289
2006.78283,9850.71289
2006.78308,9850.71289
2006.78344,9850.71386
2006.78344,9850.71386
2006.78344,9850.71386
2006.78344,9850.71386
2006.78344,9850.71289
2006.78344,9850.71289
2006.7832,9850.71289
2006.78259,9850.71289
2006.78259,9850.71289
2006.78247,9850.71289
2006.78222,9850.71289
2006.78222,9850.71289
2006.78222,9850.71289
2006.7821,9850.71289
2006.78186,9850.71289
2006.78161,9850.71289
2006.78161,9850.71289
2006.78161,9850.71289
2006.78161,9850.71289
2006.78149,9850.71289
2006.78125,9850.71289
2006.78125,9850.71386
2006.78112,9850.71289
2006.78186,9850.71289
2006.78186,9850.71386
2006.78161,9850.71386
2006.78161,9850.71386
2006.78161,9850.71386
2006.78161,9850.71386
2006.78186,9850.71386
2006.78186,9850.71386
